Index,Digi-Key Part #,Manufacturer Part Number,Description,Customer Reference,Quantity,Backorder,Unit Price,Extended Price,Note
1,565-4186-1-ND,HHXB350ARA680MF80G,CAP ALUM HYB 68UF 20% 35V SMD,,4,0,$1.50 ,$6.00 ,
2,MAX5035BASA+-ND,MAX5035BASA+,IC REG BUCK 5V 1A 8SOIC,,3,0,$5.06 ,$15.18 ,
3,308-CDRH127L125NP-101MCCT-ND,CDRH127L125NP-101MC,FIXED IND 100UH 2A 171.2MOHM SMD,,2,0,$1.40 ,$2.80 ,
4,3757-SB56AFC_R1_00001CT-ND,SB56AFC_R1_00001,DIODE SCHOTTKY 60V 5A SMAF-C,,4,0,$0.42 ,$1.68 ,
5,718-1004-1-ND,594D686X0010C2T,CAP TANT 68UF 20% 10V 2812,,2,0,$3.28 ,$6.56 ,
6,CR0805-FX-1004ELFCT-ND,CR0805-FX-1004ELF,RES SMD 1M OHM 1% 1/8W 0805,,100,0,$0.01 ,$1.15 ,
7,738-RMCF0805FT383KCT-ND,RMCF0805FT383K,RES 383K OHM 1% 1/8W 0805,,100,0,$0.01 ,$1.09 ,
8,455-2955-1-ND,BM02B-SRSS-TBT(LF)(SN),CONN HEADER SMD 2POS 1MM,,4,0,$0.64 ,$2.56 ,Get Horizontal instead of vertical.
9,455-2997-ND,A02SR02SR30K51A,"JUMPER 02SR-3S - 02SR-3S 2""",,2,0,$1.08 ,$2.16 ,
10,WM15692-ND,797581009,DURA-CLICK 300MM 26AWG PRE-CRIMP,,3,0,$1.33 ,$3.99 ,
11,IRLR2705PBFCT-ND,IRLR2705TRPBF,MOSFET N-CH 55V 28A DPAK,DONT THROW A FET,10,0,$0.82 ,$8.17 ,
12,2019-RN73R2ETTD1003B25CT-ND,RN73R2ETTD1003B25,RESISTOR THIN FILM 1210 SIZE,,4,0,$0.80 ,$3.20 ,
13,1597-113991054-ND,113991054,SEEED STUDIO XIAO ESP32C3 WIFI+B,,3,0,$4.99 ,$14.97 ,
14,RBR3MM60ATFCT-ND,RBR3MM60ATFTR,DIODE SCHOTTKY 60V 3A PMDU,,10,0,$0.32 ,$3.17 ,
15,RMCF0603FT330RCT-ND,RMCF0603FT330R,RES 330 OHM 1% 1/10W 0603,,100,0,$0.01 ,$0.61 ,
,,,,,,,Subtotal,$73.29 ,"Reuse power connections from old PCB, or find new ones."
